target_tokens,draft_window,accept_rate,local_ms_per_token,server_ms_per_step,network_rtt_ms,server_only_ms,assisted_ms,server_only_steps,assisted_server_steps,accepted_tokens,rejected_tokens,server_step_reduction_pct,latency_reduction_pct
256,2,0.25,4.0,20.0,15.0,5120.0,11008.0,256,256,256,256,0.0,-115.0
256,4,0.25,4.0,20.0,15.0,5120.0,13056.0,256,256,256,768,0.0,-155.0
256,8,0.25,4.0,20.0,15.0,5120.0,8576.0,256,128,256,768,50.0,-67.5
256,16,0.25,4.0,20.0,15.0,5120.0,6336.0,256,64,256,768,75.0,-23.75
256,32,0.25,4.0,20.0,15.0,5120.0,5216.0,256,32,256,768,87.5,-1.875
256,2,0.4,4.0,20.0,15.0,5120.0,11008.0,256,256,256,256,0.0,-115.0
256,4,0.4,4.0,20.0,15.0,5120.0,13056.0,256,256,256,768,0.0,-155.0
256,8,0.4,4.0,20.0,15.0,5120.0,5762.0,256,86,256,432,66.406,-12.539
256,16,0.4,4.0,20.0,15.0,5120.0,4257.0,256,43,256,432,83.203,16.855
256,32,0.4,4.0,20.0,15.0,5120.0,3586.0,256,22,256,448,91.406,29.961
256,2,0.55,4.0,20.0,15.0,5120.0,11008.0,256,256,256,256,0.0,-115.0
256,4,0.55,4.0,20.0,15.0,5120.0,6528.0,256,128,256,256,50.0,-27.5
256,8,0.55,4.0,20.0,15.0,5120.0,4288.0,256,64,256,256,75.0,16.25
256,16,0.55,4.0,20.0,15.0,5120.0,3168.0,256,32,256,256,87.5,38.125
256,32,0.55,4.0,20.0,15.0,5120.0,2608.0,256,16,256,256,93.75,49.062
256,2,0.7,4.0,20.0,15.0,5120.0,11008.0,256,256,256,256,0.0,-115.0
256,4,0.7,4.0,20.0,15.0,5120.0,6528.0,256,128,256,256,50.0,-27.5
256,8,0.7,4.0,20.0,15.0,5120.0,3484.0,256,52,256,160,79.688,31.953
256,16,0.7,4.0,20.0,15.0,5120.0,2376.0,256,24,256,128,90.625,53.594
256,32,0.7,4.0,20.0,15.0,5120.0,1956.0,256,12,256,128,95.312,61.797
256,2,0.85,4.0,20.0,15.0,5120.0,11008.0,256,256,256,256,0.0,-115.0
256,4,0.85,4.0,20.0,15.0,5120.0,4386.0,256,86,256,88,66.406,14.336
256,8,0.85,4.0,20.0,15.0,5120.0,2881.0,256,43,256,88,83.203,43.73
256,16,0.85,4.0,20.0,15.0,5120.0,1980.0,256,20,256,64,92.188,61.328
256,32,0.85,4.0,20.0,15.0,5120.0,1630.0,256,10,256,64,96.094,68.164
