target_tokens,draft_window,accept_rate,local_ms_per_token,server_ms_per_step,network_rtt_ms,server_only_ms,assisted_ms,server_step_reduction_pct,latency_reduction_pct,viable
256,8,0.65,1.5,20.0,3.0,5120.0,1820.0,79.688,64.453,yes
256,8,0.65,1.5,20.0,8.0,5120.0,2080.0,79.688,59.375,yes
256,8,0.65,1.5,20.0,15.0,5120.0,2444.0,79.688,52.266,yes
256,8,0.65,1.5,20.0,30.0,5120.0,3224.0,79.688,37.031,yes
256,8,0.65,1.5,20.0,60.0,5120.0,4784.0,79.688,6.562,no
256,8,0.65,1.5,20.0,100.0,5120.0,6864.0,79.688,-34.062,no
256,8,0.65,3.0,20.0,3.0,5120.0,2444.0,79.688,52.266,yes
256,8,0.65,3.0,20.0,8.0,5120.0,2704.0,79.688,47.188,yes
256,8,0.65,3.0,20.0,15.0,5120.0,3068.0,79.688,40.078,yes
256,8,0.65,3.0,20.0,30.0,5120.0,3848.0,79.688,24.844,yes
256,8,0.65,3.0,20.0,60.0,5120.0,5408.0,79.688,-5.625,no
256,8,0.65,3.0,20.0,100.0,5120.0,7488.0,79.688,-46.25,no
256,8,0.65,4.5,20.0,3.0,5120.0,3068.0,79.688,40.078,yes
256,8,0.65,4.5,20.0,8.0,5120.0,3328.0,79.688,35.0,yes
256,8,0.65,4.5,20.0,15.0,5120.0,3692.0,79.688,27.891,yes
256,8,0.65,4.5,20.0,30.0,5120.0,4472.0,79.688,12.656,no
256,8,0.65,4.5,20.0,60.0,5120.0,6032.0,79.688,-17.812,no
256,8,0.65,4.5,20.0,100.0,5120.0,8112.0,79.688,-58.438,no
256,8,0.65,6.0,20.0,3.0,5120.0,3692.0,79.688,27.891,yes
256,8,0.65,6.0,20.0,8.0,5120.0,3952.0,79.688,22.812,yes
256,8,0.65,6.0,20.0,15.0,5120.0,4316.0,79.688,15.703,yes
256,8,0.65,6.0,20.0,30.0,5120.0,5096.0,79.688,0.469,no
256,8,0.65,6.0,20.0,60.0,5120.0,6656.0,79.688,-30.0,no
256,8,0.65,6.0,20.0,100.0,5120.0,8736.0,79.688,-70.625,no
256,8,0.65,8.0,20.0,3.0,5120.0,4524.0,79.688,11.641,no
256,8,0.65,8.0,20.0,8.0,5120.0,4784.0,79.688,6.562,no
256,8,0.65,8.0,20.0,15.0,5120.0,5148.0,79.688,-0.547,no
256,8,0.65,8.0,20.0,30.0,5120.0,5928.0,79.688,-15.781,no
256,8,0.65,8.0,20.0,60.0,5120.0,7488.0,79.688,-46.25,no
256,8,0.65,8.0,20.0,100.0,5120.0,9568.0,79.688,-86.875,no
256,8,0.65,12.0,20.0,3.0,5120.0,6188.0,79.688,-20.859,no
256,8,0.65,12.0,20.0,8.0,5120.0,6448.0,79.688,-25.938,no
256,8,0.65,12.0,20.0,15.0,5120.0,6812.0,79.688,-33.047,no
256,8,0.65,12.0,20.0,30.0,5120.0,7592.0,79.688,-48.281,no
256,8,0.65,12.0,20.0,60.0,5120.0,9152.0,79.688,-78.75,no
256,8,0.65,12.0,20.0,100.0,5120.0,11232.0,79.688,-119.375,no
