strategy,prompt_id,generated_tokens,proposed_tokens,accepted_tokens,rejected_tokens,windows,accept_rate,elapsed_s,draft_s,verify_s
server_only,1,24,0,0,0,0,0.0,0.9692,0.0,0.9692
server_only,2,19,0,0,0,0,0.0,0.3672,0.0,0.3672
server_only,3,24,0,0,0,0,0.0,0.4953,0.0,0.4953
fixed_1,1,24,24,15,9,24,0.625,1.785,0.7744,1.0042
fixed_1,2,18,18,7,11,18,0.3889,1.0318,0.4466,0.5793
fixed_1,3,24,24,17,7,24,0.7083,1.4763,0.6573,0.8117
fixed_2,1,24,31,15,16,16,0.4839,1.1653,0.6294,0.5318
fixed_2,2,18,28,7,21,14,0.25,0.9975,0.5345,0.4592
fixed_2,3,24,27,17,10,14,0.6296,0.9838,0.5268,0.453
fixed_4,1,24,45,15,30,12,0.3333,1.1517,0.7493,0.3951
fixed_4,2,18,50,7,43,13,0.14,1.2298,0.7997,0.4255
fixed_4,3,24,36,17,19,10,0.4722,0.8931,0.5907,0.2965
fixed_8,1,24,74,15,59,10,0.2027,1.3033,0.9877,0.3091
fixed_8,2,18,84,7,77,12,0.0833,1.6102,1.1851,0.4211
fixed_8,3,24,48,17,31,7,0.3542,0.8864,0.6729,0.2078
adaptive,1,24,27,15,12,17,0.5556,0.9455,0.4782,0.4624
adaptive,2,18,20,7,13,15,0.35,0.8345,0.3975,0.4322
adaptive,3,24,27,17,10,13,0.6296,0.8888,0.5057,0.3778
