strategy,rtt_ms,prompt_count,elapsed_s,network_s,effective_s,server_only_s,speedup_vs_server_only,windows,proposed_tokens,accepted_tokens,accept_rate,draft_s,verify_s
server_only,0.0,3,1.8318,0.0,1.8318,1.8318,1.0,0,0,0,0.0,0.0,1.8318
server_only,15.0,3,1.8318,0.0,1.8318,1.8318,1.0,0,0,0,0.0,0.0,1.8318
server_only,60.0,3,1.8318,0.0,1.8318,1.8318,1.0,0,0,0,0.0,0.0,1.8318
fixed_1,0.0,3,4.2931,0.0,4.2931,1.8318,0.4267,66,66,39,0.5909,1.8783,2.3952
fixed_1,15.0,3,4.2931,0.99,5.2831,1.8318,0.3467,66,66,39,0.5909,1.8783,2.3952
fixed_1,60.0,3,4.2931,3.96,8.2531,1.8318,0.2219,66,66,39,0.5909,1.8783,2.3952
fixed_2,0.0,3,3.1467,0.0,3.1467,1.8318,0.5821,44,86,39,0.4535,1.6908,1.444
fixed_2,15.0,3,3.1467,0.66,3.8067,1.8318,0.4812,44,86,39,0.4535,1.6908,1.444
fixed_2,60.0,3,3.1467,2.64,5.7867,1.8318,0.3165,44,86,39,0.4535,1.6908,1.444
fixed_4,0.0,3,3.2746,0.0,3.2746,1.8318,0.5594,35,131,39,0.2977,2.1398,1.1171
fixed_4,15.0,3,3.2746,0.525,3.7996,1.8318,0.4821,35,131,39,0.2977,2.1398,1.1171
fixed_4,60.0,3,3.2746,2.1,5.3746,1.8318,0.3408,35,131,39,0.2977,2.1398,1.1171
fixed_8,0.0,3,3.7998,0.0,3.7998,1.8318,0.4821,29,206,39,0.1893,2.8458,0.938
fixed_8,15.0,3,3.7998,0.435,4.2348,1.8318,0.4325,29,206,39,0.1893,2.8458,0.938
fixed_8,60.0,3,3.7998,1.74,5.5398,1.8318,0.3307,29,206,39,0.1893,2.8458,0.938
adaptive,0.0,3,2.6688,0.0,2.6688,1.8318,0.6864,45,74,39,0.527,1.3814,1.2723
adaptive,15.0,3,2.6688,0.675,3.3438,1.8318,0.5478,45,74,39,0.527,1.3814,1.2723
adaptive,60.0,3,2.6688,2.7,5.3688,1.8318,0.3412,45,74,39,0.527,1.3814,1.2723
