strategy,prompt_id,generated_tokens,proposed_tokens,accepted_tokens,rejected_tokens,windows,accept_rate,elapsed_s,draft_s,verify_s
server_only,1,32,0,0,0,0,0.0,0.9162,0.0,0.9162
server_only,2,32,0,0,0,0,0.0,0.5975,0.0,0.5975
server_only,3,32,0,0,0,0,0.0,0.5696,0.0,0.5696
server_only,4,32,0,0,0,0,0.0,0.4814,0.0,0.4814
server_only,5,32,0,0,0,0,0.0,0.5053,0.0,0.5053
fixed_1,1,32,32,21,11,32,0.6562,2.1246,1.0096,1.1062
fixed_1,2,32,32,28,4,32,0.875,2.0883,0.9903,1.09
fixed_1,3,32,32,24,8,32,0.75,1.628,0.7937,0.8267
fixed_1,4,32,32,23,9,32,0.7188,1.2527,0.5944,0.6507
fixed_1,5,32,32,26,6,32,0.8125,1.3265,0.6424,0.676
fixed_2,1,32,38,21,17,19,0.5526,1.1202,0.6871,0.4283
fixed_2,2,32,34,28,6,17,0.8235,0.9474,0.5642,0.379
fixed_2,3,32,36,24,12,18,0.6667,0.9783,0.5945,0.3795
fixed_2,4,32,37,23,14,19,0.6216,1.115,0.6568,0.4533
fixed_2,5,32,37,26,11,19,0.7027,1.1766,0.6977,0.4737
fixed_4,1,32,50,21,29,13,0.42,1.2352,0.8683,0.3601
fixed_4,2,32,40,28,12,10,0.7,0.9453,0.6635,0.2782
fixed_4,3,32,46,24,22,12,0.5217,1.0562,0.7586,0.2915
fixed_4,4,32,53,23,30,14,0.434,1.118,0.7904,0.3203
fixed_4,5,32,47,26,21,12,0.5532,0.9616,0.694,0.2647
fixed_8,1,32,86,21,65,11,0.2442,1.6611,1.3286,0.3225
fixed_8,2,32,44,28,16,6,0.6364,0.816,0.6484,0.1619
fixed_8,3,32,78,24,54,10,0.3077,1.3413,1.0952,0.2387
fixed_8,4,32,84,23,61,11,0.2738,1.4174,1.1484,0.2586
fixed_8,5,32,67,26,41,9,0.3881,1.0948,0.8812,0.2095
adaptive,1,32,45,21,24,21,0.4667,1.1406,0.7265,0.4071
adaptive,2,32,49,28,21,11,0.5714,0.9338,0.6945,0.2351
adaptive,3,32,44,24,20,17,0.5455,1.1265,0.7444,0.3745
adaptive,4,32,43,23,20,19,0.5349,1.0757,0.6866,0.3829
adaptive,5,32,40,26,14,14,0.65,0.9076,0.6133,0.2894
