strategy,rtt_ms,prompt_count,elapsed_s,network_s,effective_s,server_only_s,speedup_vs_server_only,windows,proposed_tokens,accepted_tokens,accept_rate,draft_s,verify_s
server_only,0.0,5,3.07,0.0,3.07,3.07,1.0,0,0,0,0.0,0.0,3.07
server_only,15.0,5,3.07,0.0,3.07,3.07,1.0,0,0,0,0.0,0.0,3.07
server_only,60.0,5,3.07,0.0,3.07,3.07,1.0,0,0,0,0.0,0.0,3.07
fixed_1,0.0,5,8.4201,0.0,8.4201,3.07,0.3646,160,160,122,0.7625,4.0303,4.3495
fixed_1,15.0,5,8.4201,2.4,10.8201,3.07,0.2837,160,160,122,0.7625,4.0303,4.3495
fixed_1,60.0,5,8.4201,9.6,18.0201,3.07,0.1704,160,160,122,0.7625,4.0303,4.3495
fixed_2,0.0,5,5.3376,0.0,5.3376,3.07,0.5752,92,182,122,0.6703,3.2003,2.1137
fixed_2,15.0,5,5.3376,1.38,6.7176,3.07,0.457,92,182,122,0.6703,3.2003,2.1137
fixed_2,60.0,5,5.3376,5.52,10.8576,3.07,0.2828,92,182,122,0.6703,3.2003,2.1137
fixed_4,0.0,5,5.3164,0.0,5.3164,3.07,0.5775,61,236,122,0.5169,3.7748,1.5147
fixed_4,15.0,5,5.3164,0.915,6.2314,3.07,0.4927,61,236,122,0.5169,3.7748,1.5147
fixed_4,60.0,5,5.3164,3.66,8.9764,3.07,0.342,61,236,122,0.5169,3.7748,1.5147
fixed_8,0.0,5,6.3306,0.0,6.3306,3.07,0.4849,47,359,122,0.3398,5.1019,1.1913
fixed_8,15.0,5,6.3306,0.705,7.0356,3.07,0.4364,47,359,122,0.3398,5.1019,1.1913
fixed_8,60.0,5,6.3306,2.82,9.1506,3.07,0.3355,47,359,122,0.3398,5.1019,1.1913
adaptive,0.0,5,5.1842,0.0,5.1842,3.07,0.5922,82,221,122,0.552,3.4653,1.689
adaptive,15.0,5,5.1842,1.23,6.4142,3.07,0.4786,82,221,122,0.552,3.4653,1.689
adaptive,60.0,5,5.1842,4.92,10.1042,3.07,0.3038,82,221,122,0.552,3.4653,1.689
